=================================================>0.31 % |  50 ms | ReportService.selectByExpenseReportOid:c3b24448-7780-4c45-bb2f-963d2d7a156b
========================================================>0.31 % |  50 ms | ReportBaseService.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@5ec92025
===============================================================>0.31 % |  50 ms | ExpenseReportMPMapper.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@5519b8a9
=================================================>0.21 % |  34 ms | ExpenseTypeService.selectById:1798626251100164172
========================================================>0.21 % |  34 ms | ExpenseTypeServiceImpl.getContainsCategoryAndFieldById:1798626251100164172
===============================================================>0.21 % |  34 ms | ExpenseTypeMpMapper.selectOneByIdWithCascade:1798626251100164172
=================================================>0.06 % |  10 ms | DepartmentService.getOneByDepartmentOID:20e6384a-9a83-4066-8967-4a7e624742b1
========================================================>0.06 % |  10 ms | DepartmentMapper.getOneByDepartmentOID:20e6384a-9a83-4066-8967-4a7e624742b1
=================================================>0.12 % |  20 ms | BaseMapper.insert:ExpenseApportionment@66b20c87
=================================================>0.06 % |  10 ms | InvoiceServiceImpl.removeLabels:1946130299251605505,ArrayList@bda1996,1798976097732612098
========================================================>0.06 % |  10 ms | EntityLabelServiceImpl.removeEntityLabels:1946130299251605505,ArrayList@bda1996,LabelCategory@3fb0b9ef,1798976097732612098
===============================================================>0.06 % |  10 ms | EntityLabelMapper.selectEntityLabelIds:SingletonList@38fabb43,2,ArrayList@6941a932,null
=================================================>1.36 % |  222 ms | EntityLabelServiceImpl.removeEntityLabels:1946466421630533633,SingletonList@24b00a09,LabelCategory@354b445d,1798976097732612098
========================================================>1.35 % |  221 ms | EntityLabelMapper.selectEntityLabelIds:SingletonList@21fb6f47,4,ArrayList@7029adf3,null
=================================================>0.06 % |  10 ms | InvoiceServiceImpl.removeLabels:1946130299251605505,ArrayList@49afdf82,1798976097732612098
========================================================>0.06 % |  10 ms | EntityLabelServiceImpl.removeEntityLabels:1946130299251605505,ArrayList@49afdf82,LabelCategory@3fb0b9ef,1798976097732612098
===============================================================>0.06 % |  10 ms | EntityLabelMapper.selectEntityLabelIds:SingletonList@2f7242ec,2,ArrayList@2738861f,null
=================================================>0.07 % |  11 ms | InvoiceServiceImpl.removeLabels:1946130299251605505,ArrayList@4be174bd,1798976097732612098
========================================================>0.07 % |  11 ms | EntityLabelServiceImpl.removeEntityLabels:1946130299251605505,ArrayList@4be174bd,LabelCategory@3fb0b9ef,1798976097732612098
===============================================================>0.07 % |  11 ms | EntityLabelMapper.selectEntityLabelIds:SingletonList@73dd8adc,2,ArrayList@c6c9562,null
==========================================>0.48 % |  79 ms | ExpenseAmortiseServiceImpl.batchUpsert:ExpenseReport@353c8ae9,ArrayList@4a28f791,a554e733-490e-487b-8a73-b340ed05faca
=================================================>0.24 % |  40 ms | ExpenseService.getSimpleByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca,InvoiceWithMemberCommand@27827939
========================================================>0.12 % |  19 ms | ExpenseMapper.getSimpleByInvoiceOIDs:SingletonList@45cc3c6b
========================================================>0.07 % |  11 ms | InvoiceAttributeServiceImpl.findByInvoiceId:1946130299251605505
===============================================================>0.07 % |  11 ms | InvoiceAttributeMapper.findByInvoiceId:1946130299251605505
=================================================>0.07 % |  11 ms | UserAccountService.getUserSummaryInfo:2dc11c99-2099-495b-bc97-099e8b2a295f
========================================================>0.07 % |  11 ms | UserMapper.selectOneByOID:2dc11c99-2099-495b-bc97-099e8b2a295f
=================================================>0.11 % |  18 ms | ExpenseAmortisePlanService.deleteByResourceOID:a554e733-490e-487b-8a73-b340ed05faca
========================================================>0.11 % |  18 ms | BaseMapper.delete:EntityWrapper@146c7d50
=================================================>0.06 % |  10 ms | InvoiceServiceImpl.removeLabels:1946130299251605505,ArrayList@53309c72,1798976097732612098
========================================================>0.06 % |  10 ms | EntityLabelServiceImpl.removeEntityLabels:1946130299251605505,ArrayList@53309c72,LabelCategory@3fb0b9ef,1798976097732612098
===============================================================>0.06 % |  10 ms | EntityLabelMapper.selectEntityLabelIds:SingletonList@2a7a280,2,ArrayList@386c7890,null
==========================================>0.18 % |  29 ms | ExpenseReportService.removeLabel:c3b24448-7780-4c45-bb2f-963d2d7a156b,LabelType@16e2f6e3,null
=================================================>0.12 % |  19 ms | ReportService.findByExpenseReportOID:c3b24448-7780-4c45-bb2f-963d2d7a156b
========================================================>0.12 % |  19 ms | ReportBaseService.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@4b3142a1
===============================================================>0.12 % |  19 ms | ExpenseReportMPMapper.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@53a164fd
=================================================>0.06 % |  10 ms | LabelServiceImpl.selectByEntityIdAndLabelTypeIn:31548662,SingletonList@234d81d9,1
========================================================>0.06 % |  10 ms | LabelMapper.selectByEntityIdAndLabelTypeIn:31548662,SingletonList@234d81d9,1
==========================================>0.07 % |  12 ms | EntityLabelServiceImpl.selectInvoiceEntityLabels:c3b24448-7780-4c45-bb2f-963d2d7a156b,ArrayList@797deb4c,EntityLabelSearchContext@a778a3e
=================================================>0.07 % |  12 ms | EntityLabelMapper.selectInvoiceLabelByReportOID:c3b24448-7780-4c45-bb2f-963d2d7a156b,2,ArrayList@1dd6211d
==========================================>3.89 % |  637 ms | ExpenseReportService.flushExpenseReport:c3b24448-7780-4c45-bb2f-963d2d7a156b,false
=================================================>0.06 % |  10 ms | ExpenseReportInvoiceServiceImpl.findByExpenseReportOIDAndStatusNotIn:c3b24448-7780-4c45-bb2f-963d2d7a156b,1002
